date,league,t1,t2,game,bet_type,bet_line,ROI,House,status,odds,profit
2023-10-15 03:58:19,WLDs,GAM Esports,Team Whales,2,under,total_towers 12.5,9.90%,Bet365,loss,1.57,-1.0
2023-10-15 04:46:19,WLDs,GAM Esports,Team Whales,3,under,total_towers 12.5,9.90%,Bet365,win,1.57,0.57
2023-10-15 05:44:39,WLDs,GAM Esports,Team Whales,4,under,total_towers 12.5,9.90%,Bet365,win,1.57,0.57
2023-10-15 03:11:17,WLDs,GAM Esports,Team Whales,1,under,total_kills 27.5,5.22%,Bet365,win,1.83,0.83
2023-10-15 03:58:19,WLDs,GAM Esports,Team Whales,2,under,total_kills 27.5,5.22%,Bet365,win,1.83,0.83
2023-10-15 04:46:19,WLDs,GAM Esports,Team Whales,3,under,total_kills 27.5,5.22%,Bet365,loss,1.83,-1.0
2023-10-15 05:44:39,WLDs,GAM Esports,Team Whales,4,under,total_kills 27.5,5.22%,Bet365,loss,1.83,-1.0
2023-10-15 03:11:17,WLDs,GAM Esports,Team Whales,1,under,game_duration 32.5,28.10%,Bet365,win,1.83,0.83
2023-10-15 03:58:19,WLDs,GAM Esports,Team Whales,2,under,game_duration 32.5,28.10%,Bet365,win,1.83,0.83
2023-10-15 04:46:19,WLDs,GAM Esports,Team Whales,3,under,game_duration 32.5,28.10%,Bet365,loss,1.83,-1.0
2023-10-15 05:44:39,WLDs,GAM Esports,Team Whales,4,under,game_duration 32.5,28.10%,Bet365,win,1.83,0.83
2023-10-15 03:11:17,WLDs,GAM Esports,Team Whales,1,under,total_inhibitors 1.5,35.00%,Bet365,win,2.25,1.25
2023-10-15 03:58:19,WLDs,GAM Esports,Team Whales,2,under,total_inhibitors 1.5,35.00%,Bet365,loss,2.25,-1.0
2023-10-15 04:46:19,WLDs,GAM Esports,Team Whales,3,under,total_inhibitors 1.5,35.00%,Bet365,win,2.25,1.25
2023-10-15 05:44:39,WLDs,GAM Esports,Team Whales,4,under,total_inhibitors 1.5,35.00%,Bet365,win,2.25,1.25
2023-10-17 16:01:41,IC,Movistar Riders,ZETA,1,FD,first_dragon ZETA,126.70%,Dafabet,loss,2.267,-1.0
2023-10-17 16:43:01,IC,Movistar Riders,ZETA,2,FD,first_dragon ZETA,126.70%,Dafabet,win,2.267,1.27
2023-10-18 17:53:45,IC,Barça eSports,Case Esports,1,FD,first_dragon Case Esports,99.40%,Dafabet,win,1.994,0.99
2023-10-18 18:44:16,IC,Case Esports,Barça eSports,2,FD,first_dragon Case Esports,99.40%,Dafabet,win,1.994,0.99
2023-10-18 19:32:35,IC,Barça eSports,Case Esports,3,FD,first_dragon Case Esports,99.40%,Dafabet,win,1.994,0.99
2023-10-19 09:25:46,WLDs,G2 Esports,Dplus KIA,1,over,game_duration 30.0,17.31%,Dafabet,win,1.877,0.88
2023-10-19 09:25:46,WLDs,G2 Esports,Dplus KIA,1,over,total_barons 1.5,12.15%,Dafabet,win,2.243,1.24
2023-10-19 08:30:33,WLDs,Team BDS,JD Gaming,1,FD,first_dragon Team BDS,52.02%,Dafabet,win,2.764,1.76
2023-10-19 08:30:33,WLDs,Team BDS,JD Gaming,1,over,game_duration 27.0,46.74%,Dafabet,win,2.024,1.02
2023-10-19 08:30:33,WLDs,Team BDS,JD Gaming,1,over,total_barons 1.5,19.35%,Dafabet,loss,3.41,-1.0
2023-10-19 12:33:49,WLDs,Bilibili Gaming,KT Rolster,1,over,total_kills 25.5,22.12%,Dafabet,win,1.954,0.95
2023-10-19 12:33:49,WLDs,Bilibili Gaming,KT Rolster,1,under,game_duration 31.0,14.88%,Dafabet,loss,1.998,-1.0
2023-10-19 11:36:22,WLDs,LNG Esports,Fnatic,1,FD,first_dragon Fnatic,6.15%,Dafabet,win,2.123,1.12
2023-10-19 11:36:22,WLDs,LNG Esports,Fnatic,1,over,game_duration 29.0,7.70%,Dafabet,win,1.795,0.79
2023-10-19 05:16:33,WLDs,T1,Team Liquid,1,FD,first_dragon Team Liquid,88.02%,Dafabet,loss,2.686,-1.0
2023-10-19 05:16:33,WLDs,T1,Team Liquid,1,over,game_duration 27.0,45.44%,Dafabet,win,1.818,0.82
2023-10-19 05:16:33,WLDs,T1,Team Liquid,1,over,total_barons 1.5,31.17%,Dafabet,win,2.915,1.92
2023-10-19 12:33:49,WLDs,Bilibili Gaming,KT Rolster,1,under,total_dragons 4.5,26.00%,Bet365,loss,2.1,-1.0
2023-10-19 12:33:49,WLDs,Bilibili Gaming,KT Rolster,1,under,total_towers 12.5,7.90%,Bet365,loss,1.66,-1.0
2023-10-19 12:33:49,WLDs,Bilibili Gaming,KT Rolster,1,over,total_kills 26.5,5.22%,Bet365,win,1.83,0.83
2023-10-19 12:33:49,WLDs,Bilibili Gaming,KT Rolster,1,over,game_duration 30.5,5.22%,Bet365,win,1.83,0.83
2023-10-19 12:33:49,WLDs,Bilibili Gaming,KT Rolster,1,under,total_inhibitors 1.5,42.20%,Bet365,loss,2.37,-1.0
2023-10-19 12:33:49,WLDs,Bilibili Gaming,KT Rolster,1,under,total_barons 1.5,14.00%,Bet365,loss,1.9,-1.0
2023-10-19 06:27:15,WLDs,Cloud9,MAD Lions,1,under,total_dragons 4.5,35.00%,Bet365,win,2.25,1.25
2023-10-19 06:27:15,WLDs,Cloud9,MAD Lions,1,under,total_towers 12.5,9.80%,Bet365,loss,1.83,-1.0
2023-10-19 06:27:15,WLDs,Cloud9,MAD Lions,1,over,total_kills 26.5,5.22%,Bet365,loss,1.83,-1.0
